| Puzzle     | Elapsed Time (s)     | CPU Time (s)         | Peak Memory Usage (MB)    |
| 112        | 0.038836             | 0.015625             | 4.371094                  |
| 113        | 0.038260             | 0.015625             | 4.371094                  |
| 114        | 0.039158             | 0.000000             | 4.371094                  |
| 115        | 0.039633             | 0.000000             | 4.371094                  |
| 116        | 0.039239             | 0.000000             | 4.371094                  |
| 117        | 0.043764             | 0.015625             | 4.371094                  |
| 118        | 0.040481             | 0.015625             | 4.371094                  |
| 119        | 0.039535             | 0.015625             | 4.371094                  |
| 120        | 0.039940             | 0.015625             | 4.371094                  |
| 121        | 0.080092             | 0.015625             | 4.371094                  |
| 122        | 0.040579             | 0.000000             | 4.371094                  |
| 123        | 0.042905             | 0.015625             | 4.371094                  |
| 124        | 0.036150             | 0.000000             | 4.371094                  |
| 125        | 0.040579             | 0.000000             | 4.371094                  |
| 126        | 0.040875             | 0.015625             | 4.371094                  |
| 127        | 0.040555             | 0.015625             | 4.371094                  |
| 128        | 0.037311             | 0.015625             | 4.371094                  |
| 129        | 0.043122             | 0.000000             | 4.371094                  |
| 130        | 0.042975             | 0.000000             | 4.371094                  |
| 131        | 0.042701             | 0.000000             | 4.371094                  |
| 132        | 0.042336             | 0.000000             | 4.371094                  |
| 133        | 0.039209             | 0.015625             | 4.371094                  |
| 134        | 0.042359             | 0.000000             | 4.371094                  |
| 135        | 0.041231             | 0.000000             | 4.371094                  |
| 136        | 0.044141             | 0.015625             | 4.371094                  |
| 137        | 0.042997             | 0.015625             | 4.371094                  |
| 138        | 0.039005             | 0.000000             | 4.371094                  |
| 139        | 0.042729             | 0.015625             | 4.371094                  |
| 140        | 0.037385             | 0.000000             | 4.371094                  |
| 141        | 0.036932             | 0.000000             | 4.371094                  |
| 142        | 0.036913             | 0.000000             | 4.371094                  |
| 143        | 0.036336             | 0.000000             | 4.371094                  |
| 144        | 0.034057             | 0.015625             | 4.371094                  |
| 145        | 0.035856             | 0.000000             | 4.371094                  |
| 146        | 0.035749             | 0.015625             | 4.371094                  |
| 147        | 0.035949             | 0.000000             | 4.371094                  |
| 148        | 0.034092             | 0.000000             | 4.371094                  |
| 149        | 0.032506             | 0.015625             | 4.371094                  |
| 150        | 0.035011             | 0.000000             | 4.371094                  |
| 151        | 0.034664             | 0.000000             | 4.390625                  |
| 152        | 0.032948             | 0.015625             | 4.390625                  |
| 153        | 0.033150             | 0.000000             | 4.390625                  |
| 154        | 0.038611             | 0.000000             | 4.390625                  |
| 155        | 0.033351             | 0.000000             | 4.390625                  |
| 156        | 0.037015             | 0.000000             | 4.390625                  |
| 157        | 0.033032             | 0.000000             | 4.390625                  |
| 158        | 0.037197             | 0.015625             | 4.390625                  |
| 159        | 0.036753             | 0.000000             | 4.390625                  |
| 160        | 0.034749             | 0.015625             | 4.390625                  |
| 161        | 0.031102             | 0.000000             | 4.390625                  |
| 162        | 0.034554             | 0.000000             | 4.390625                  |
| 163        | 0.032294             | 0.015625             | 4.390625                  |
| 164        | 0.033028             | 0.000000             | 4.390625                  |
| 165        | 0.031436             | 0.015625             | 4.390625                  |
| 166        | 0.031284             | 0.000000             | 4.390625                  |
| 167        | 0.035461             | 0.015625             | 4.390625                  |
| 168        | 0.034063             | 0.000000             | 4.390625                  |
| 169        | 0.035713             | 0.000000             | 4.390625                  |
| 170        | 0.032245             | 0.000000             | 4.390625                  |
| 171        | 0.032221             | 0.000000             | 4.390625                  |
| 172        | 0.035012             | 0.000000             | 4.390625                  |
| 173        | 0.032976             | 0.000000             | 4.390625                  |
| 174        | 0.033046             | 0.000000             | 4.390625                  |
| 175        | 0.034334             | 0.015625             | 4.390625                  |
| 176        | 0.033478             | 0.000000             | 4.390625                  |
| 177        | 0.034946             | 0.000000             | 4.390625                  |
| 178        | 0.032328             | 0.015625             | 4.390625                  |
| 179        | 0.032386             | 0.000000             | 4.390625                  |
| 180        | 0.032173             | 0.000000             | 4.390625                  |
